id,currency,symbol,name,logo_url,status,price,price_date,price_timestamp,circulating_supply,max_supply,market_cap,market_cap_dominance,num_exchanges,num_pairs,num_pairs_unmapped,first_candle,first_trade,first_order_book,rank,rank_delta,high,high_timestamp,1d.volume,1d.price_change,1d.price_change_pct,1d.volume_change,1d.volume_change_pct,1d.market_cap_change,1d.market_cap_change_pct,platform_currency,first_priced_at
MANA,MANA,MANA,Decentraland,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/mana.svg,active,0.63140514,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,1813310699,2193488727,1144933694,0.0012,189,464,3,2017-07-17T00:00:00Z,2017-07-17T00:00:00Z,2018-08-29T00:00:00Z,50,-1,5.22228186,2021-11-25T00:00:00Z,151495771.40,-0.011888152,-0.0185,23308062.50,0.1818,-21559482.83,-0.0185,ETH,
AXS2,AXS2,AXS,Axie Infinity,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/AXS2.jpg,active,10.92107422,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,102683813,270000000,1121417546,0.0012,124,269,3,2018-12-12T00:00:00Z,2020-11-04T00:00:00Z,2020-11-04T00:00:00Z,51,-1,160.73538443,2021-11-07T00:00:00Z,206675405.34,-0.17773476,-0.0160,31387391.02,0.1791,-18250483.32,-0.0160,ETH,2020-11-09T16:49:37.895041Z
EOS,EOS,EOS,EOS,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/eos.svg,active,1.04853441,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,1068205809,,1120050553,0.0012,241,1756,138,2017-06-23T00:00:00Z,2017-06-23T00:00:00Z,2018-08-29T00:00:00Z,52,-1,20.85172546,2018-04-29T00:00:00Z,345981087.77,-0.0049684191,-0.0047,13771905.80,0.0415,-5216169.18,-0.0046,EOS,
CHZ,CHZ,CHZ,Chiliz,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CHZ.png,active,0.18330097,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,6006279192,8888888888,1100956817,0.0011,126,336,5,2019-06-29T00:00:00Z,2019-06-29T00:00:00Z,2019-07-17T00:00:00Z,53,0,0.70068056,2021-03-12T00:00:00Z,313896105.76,-0.00092856908,-0.0050,26387498.58,0.0918,-5577245.16,-0.0050,CHZ,
MKR,MKR,MKR,Maker,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/MKR.svg,active,1100.67549746,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,977631,977631,1076054528,0.0011,179,792,15,2017-12-21T00:00:00Z,2017-12-21T00:00:00Z,2018-09-07T00:00:00Z,54,0,5989.31315093,2021-05-03T00:00:00Z,141235081.25,12.30665697,0.0113,7071970.10,0.0527,12031369.81,0.0113,ETH,
TKX,TKX,TKX,Tokenize Xchange,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/TKX.png,active,13.23103066,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,79996000,100000000,1058429529,0.0011,3,10,0,2020-02-06T00:00:00Z,2020-10-03T00:00:00Z,2020-04-01T00:00:00Z,55,0,13.28671007,2022-10-17T00:00:00Z,62383599.95,0.28088473,0.0217,20601512.72,0.4931,22469655.05,0.0217,ETH,
LDO,LDO,LDO,Lido DAO,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/LDO.png,active,1.47970615,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,694112379,1000000000,1027082356,0.0011,57,107,0,2021-01-05T00:00:00Z,2021-01-05T00:00:00Z,2021-01-06T00:00:00Z,56,1,6.40173081,2021-08-21T00:00:00Z,251937065.89,0.033593505,0.0232,117434781.82,0.8731,26223431.70,0.0262,ETH,2021-01-06T15:31:25.629792Z
THETA,THETA,THETA,Theta Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/theta.png,active,0.99332274,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,1000000000,1000000000,993322740,0.0010,70,164,0,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z,2018-08-29T00:00:00Z,57,-1,14.33758520,2021-04-16T00:00:00Z,32266131.09,-0.013100241,-0.0130,3416328.04,0.1184,-13100240.67,-0.0130,THETA,
CUSDC,CUSDC,CUSDC,Compound USD Coin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CUSDC.png,active,0.022660290,2022-10-18T00:00:00Z,2022-10-18T17:48:00Z,42266019133,42266019133,957760260,0.0010,9,83,0,2019-09-22T00:00:00Z,2020-04-02T00:00:00Z,2020-04-09T00:00:00Z,58,1,0.95914591,2019-11-26T00:00:00Z,6700112.64,0.000022622609,0.0010,3253873.49,0.9442,8419939.60,0.0089,ETH,
KCS,KCS,KCS,KuCoin Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/kcs.jpg,active,9.76553721,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,97724483,145224483,954332071,0.0010,18,125,4692,2017-09-17T00:00:00Z,2020-03-26T00:00:00Z,2019-06-04T00:00:00Z,59,-1,27.61500749,2021-12-01T00:00:00Z,1557289.64,-0.10020657,-0.0102,86842.79,0.0591,-9792635.53,-0.0102,ETH,
BSV,BSV,BSV,Bitcoin SV,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/BSV.png,active,48.55539838,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,19198945,21000000,932212442,0.0010,148,737,142,2017-07-09T00:00:00Z,2018-11-08T00:00:00Z,2018-11-13T00:00:00Z,60,0,441.02212553,2021-04-16T00:00:00Z,22993572.32,-0.36591580,-0.0075,-1501741.36,-0.0613,-7013578.69,-0.0075,,
PAX,PAX,USDP,Pax Dollar,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/pax.png,active,0.99898119,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,898450611,898450611,897535259,0.0009,112,631,20,2018-09-27T00:00:00Z,2018-09-27T00:00:00Z,2018-09-29T00:00:00Z,61,0,1.06633591,2021-10-13T00:00:00Z,13986067.65,0.00063601706,0.0006,-31102690.01,-0.6898,770768.14,0.0009,ETH,
TUSD,TUSD,TUSD,TrueUSD,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/tusd.svg,active,0.99990119,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,880104672,880104672,880017706,0.0009,138,881,67,2018-03-06T00:00:00Z,2018-03-06T00:00:00Z,2018-08-29T00:00:00Z,62,0,1.08791082,2018-05-21T00:00:00Z,25565511.81,0.0019717167,0.0020,-7732208.28,-0.2322,5518761.42,0.0063,ETH,
1INCH,1INCH,1INCH,1inch,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/1INCH.jpg,active,0.56823063,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,1461125191,1500000000,830256092,0.0009,124,365,4,2018-12-17T00:00:00Z,2020-12-25T00:00:00Z,2019-02-14T00:00:00Z,63,0,7.50420207,2021-05-08T00:00:00Z,58839153.10,-0.0064623638,-0.0112,9727075.71,0.1981,-9442322.52,-0.0112,ETH,2020-12-28T18:53:34.959468Z
ELG,ELG,ELG,Escoin Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ELG.jpg,active,3.18134580,2022-10-18T00:00:00Z,2022-10-18T17:48:00Z,237976494,250000000,757085520,0.0008,10,16,1,2020-11-30T00:00:00Z,2020-11-30T00:00:00Z,2021-01-05T00:00:00Z,64,0,3.59598119,2022-06-18T00:00:00Z,1493836.85,-0.00067557547,-0.0002,-163286.31,-0.0985,-160771.08,-0.0002,ETH,2020-12-01T17:25:58.226026Z
BTT2,BTT2,BTT,BitTorrent V2,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/BTT2.png,active,0.00000077131247,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,942690250000000,990000000000000,727108743,0.0008,47,75,10,2019-01-31T00:00:00Z,2019-02-08T00:00:00Z,2019-02-14T00:00:00Z,65,0,0.010842345,2021-04-06T00:00:00Z,17833386.15,-0.0000000058178590,-0.0075,2661538.69,0.1754,-5484438.99,-0.0075,TRX,2021-12-22T22:21:23.096382Z
XEC,XEC,XEC,eCash,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/XEC.jpg,active,0.000037518052,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,19201242173303,21000000000000,720393197,0.0008,42,78,1,2020-09-24T00:00:00Z,2020-11-15T00:00:00Z,2020-11-15T00:00:00Z,66,1,0.00033372501,2021-09-04T00:00:00Z,6573515.73,-0.00000026573610,-0.0070,301416.85,0.0481,-5069402.35,-0.0070,,2021-07-07T19:15:23.761148Z
OMI,OMI,OMI,ECOMI,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/OMI.png,active,0.0012369805,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,581910045187,750000000000,719811367,0.0008,5,8,0,2019-10-01T00:00:00Z,2021-03-23T00:00:00Z,2020-02-14T00:00:00Z,67,1,0.013122024,2021-03-19T00:00:00Z,828533.67,-0.0000038263947,-0.0031,-404643.38,-0.3281,-2226617.51,-0.0031,GO,2021-02-02T14:53:17.269368Z
EROC,EROC,EROC,EmeraldRockets,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/EROC.png,active,0.72339270,2022-10-18T00:00:00Z,2022-10-17T19:54:00Z,994447199,1000000000,719375841,0.0008,1,1,0,2021-05-14T00:00:00Z,2021-05-14T00:00:00Z,2021-10-27T00:00:00Z,68,-2,1.18317793,2022-10-01T00:00:00Z,8.08,-0.0065528949,-0.0090,,,-6246428.10,-0.0086,ETH,2021-07-02T15:52:41.520766Z
IOT,IOT,IOT,IOTA (MIOTA),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/iot.svg,active,0.25181923,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,2779530283,2779530283,699939179,0.0007,41,116,0,2017-06-12T00:00:00Z,2017-06-12T00:00:00Z,2018-08-29T00:00:00Z,69,0,5.37687013,2017-12-19T00:00:00Z,10208511.77,-0.00065403273,-0.0026,1173100.04,0.1298,-1817903.78,-0.0026,,
ZEC,ZEC,ZEC,Zcash,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/zec.svg,active,51.88525446,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,12926880,21000000,670714442,0.0007,196,616,71,2016-09-15T00:00:00Z,2016-09-15T00:00:00Z,2018-08-29T00:00:00Z,70,0,2073.16150178,2016-10-29T00:00:00Z,97618141.56,-0.85461879,-0.0162,21231282.99,0.2779,-10868731.90,-0.0159,,
GT,GT,GT,Gatechain Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/GT.png,active,4.40919289,2022-10-18T00:00:00Z,2022-10-18T17:48:00Z,145377817,300000000,640998836,0.0007,24,56,0,2019-04-21T00:00:00Z,2019-04-21T00:00:00Z,2019-06-04T00:00:00Z,71,1,11.27430552,2021-05-12T00:00:00Z,2100132.92,-0.028353962,-0.0064,-76818.22,-0.0353,-4122037.13,-0.0064,ETH,
CDAI,CDAI,CDAI,Compound Dai,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CDAI.png,active,0.022078893,2022-10-18T00:00:00Z,2022-10-18T17:48:00Z,28866926876,28866926876,637349788,0.0007,8,83,1,2020-03-25T00:00:00Z,2020-04-02T00:00:00Z,2020-04-09T00:00:00Z,72,2,0.15067273,2020-10-04T00:00:00Z,7723922.63,0.000040125017,0.0018,5687831.27,2.7935,11122264.73,0.0178,ETH,
CAKE,CAKE,CAKE,PancakeSwap,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CAKE.jpg,active,4.46022154,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,142232560,335680608,634388728,0.0007,137,2248,2535,2020-09-22T00:00:00Z,2020-09-22T00:00:00Z,2020-09-29T00:00:00Z,73,-2,42.70265292,2021-04-29T00:00:00Z,59077990.38,-0.11103555,-0.0243,10610725.86,0.2189,-16272188.99,-0.0250,BNB,2021-02-02T14:53:17.269368Z
GRT,GRT,GRT,The Graph,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/GRT.jpg,active,0.083906239,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,7400273157,10000000000,620929085,0.0006,135,305,0,2020-05-23T00:00:00Z,2020-12-17T00:00:00Z,2020-05-23T00:00:00Z,74,-1,2.34096298,2021-02-13T00:00:00Z,51883687.13,-0.0027698641,-0.0320,8251608.49,0.1891,-20497750.85,-0.0320,ETH,
TIME5,TIME5,TIME,TIME (Wonderland),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/TIME5.png,active,11.93155986,2022-10-18T00:00:00Z,2022-10-18T17:48:00Z,51970534,51970826,620089542,0.0006,10,34,6,2021-09-02T00:00:00Z,2021-09-02T00:00:00Z,2021-10-27T00:00:00Z,75,5,9647.60652961,2021-11-07T00:00:00Z,8420.06,1.45460562,0.1388,-7418.13,-0.4684,75596631.26,0.1388,AVAX,2021-09-07T18:38:16.040658Z
HELIUM,HELIUM,HNT,Helium,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/HELIUM.jpeg,active,4.47079545,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,130659921,,584153782,0.0006,32,57,0,2020-04-17T00:00:00Z,2020-09-15T00:00:00Z,2020-04-17T00:00:00Z,76,-1,52.77577966,2021-11-14T00:00:00Z,361546500.99,-0.059622295,-0.0132,57786411.47,0.1902,-7431381.62,-0.0126,,
SNX,SNX,SNX,Synthetix Network Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/SNX.png,active,2.33145860,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,240055389,302466829,559679199,0.0006,156,1117,16,2018-03-15T00:00:00Z,2018-03-15T00:00:00Z,2019-05-15T00:00:00Z,77,0,27.15769202,2021-02-12T00:00:00Z,91097363.56,0.012093577,0.0052,-51699157.61,-0.3620,2953251.18,0.0053,ETH,
NEO,NEO,NEO,NEO,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/neo.svg,active,7.91533124,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,70530000,100000000,558268312,0.0006,141,467,4,2016-10-26T00:00:00Z,2017-07-14T00:00:00Z,2018-08-29T00:00:00Z,78,-2,190.70674677,2018-01-15T00:00:00Z,28222243.50,-0.062587931,-0.0078,2649787.02,0.1036,-4414326.76,-0.0078,NEO,
EVMOS,EVMOS,EVMOS,Evmos,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/EVMOS.png,active,1.71658713,2022-10-18T00:00:00Z,2022-10-18T17:48:00Z,324391777,1000000000,556846749,0.0006,9,14,0,2022-04-29T00:00:00Z,,2022-04-30T00:00:00Z,79,0,4.22925931,2022-05-04T00:00:00Z,2741333.59,0.030164507,0.0179,568923.92,0.2619,11214504.08,0.0206,,2022-09-20T22:01:25.903038Z
CETH,CETH,CETH,Compound Ether,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CETH.png,active,26.25789208,2022-10-18T00:00:00Z,2022-10-18T17:48:00Z,20663903,20663903,542590531,0.0006,5,41,0,2020-03-25T00:00:00Z,2020-06-27T00:00:00Z,2021-10-27T00:00:00Z,80,-2,96.49598466,2021-11-08T00:00:00Z,1573505.11,-0.24271981,-0.0092,1195355.42,3.1611,-6614657.61,-0.0120,ETH,
FTM,FTM,FTM,Fantom,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ftm.png,active,0.20920210,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,2541152731,3175000000,531614492,0.0006,158,1324,21660,2018-10-28T00:00:00Z,2018-10-29T00:00:00Z,2019-06-04T00:00:00Z,81,0,3.31083210,2022-01-16T00:00:00Z,230694926.39,-0.000021201573,-0.0001,29727904.17,0.1479,-53876.44,-0.0001,FTM,
AR,AR,AR,Arweave,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/AR.jpeg,active,10.20780478,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,50108502,66000000,511497806,0.0005,42,71,0,2020-02-13T00:00:00Z,2020-06-20T00:00:00Z,2020-02-13T00:00:00Z,82,4,85.87168404,2021-11-04T00:00:00Z,21333440.76,0.23861994,0.0239,-2491806.12,-0.1046,11956887.93,0.0239,,
CRV,CRV,CRV,Curve DAO Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CRV2.jpg,active,0.89681745,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,570144331,1838217254,511315385,0.0005,149,519,38,2020-08-12T00:00:00Z,2020-08-12T00:00:00Z,2020-08-14T00:00:00Z,83,2,11.22447204,2020-08-14T00:00:00Z,141233676.10,0.020597247,0.0235,22514840.63,0.1896,11720513.34,0.0235,ETH,
PAXG,PAXG,PAXG,PAX Gold,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/PAXG.png,active,1656.31051126,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,303808,303808,503200728,0.0005,56,141,9,2019-09-10T00:00:00Z,2019-10-01T00:00:00Z,2019-10-18T00:00:00Z,84,-1,2092.49782025,2020-08-06T00:00:00Z,10965262.77,-5.54675585,-0.0033,-1701177.21,-0.1343,-1685149.96,-0.0033,ETH,
ENS,ENS,ENS,Ethereum Name Service,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ENS.jpg,active,19.05594987,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,26322816,100000000,501606257,0.0005,74,138,1,2021-11-08T00:00:00Z,2021-11-09T00:00:00Z,2021-11-09T00:00:00Z,85,-1,76.28957814,2021-11-28T00:00:00Z,137944789.90,0.025104340,0.0013,-26461739.55,-0.1610,660816.92,0.0013,ETH,2021-11-09T03:02:04.500898Z
NEXO,NEXO,NEXO,Nexo,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/nexo.png,active,0.89137476,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,560000010,1000000000,499169872,0.0005,65,130,0,2018-05-01T00:00:00Z,2018-05-01T00:00:00Z,2019-03-07T00:00:00Z,86,1,3.92945505,2021-05-03T00:00:00Z,3962812.52,0.013813609,0.0157,433817.49,0.1229,7735621.43,0.0157,ETH,
CSPR,CSPR,CSPR,Casper Network,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CSPR.jpg,active,0.046096856,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,10431901169,11224591757,480877843,0.0005,31,48,0,2021-03-22T00:00:00Z,2021-03-22T00:00:00Z,2021-03-25T00:00:00Z,87,-5,7.78750222,2021-05-09T00:00:00Z,56083095.08,-0.0043191990,-0.0857,-55585259.10,-0.4978,-44904171.65,-0.0854,ETH,2021-03-24T17:15:22.168972Z
CUSDT,CUSDT,CUSDT,Compound USDT,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CUSDT.png,active,0.021996337,2022-10-18T00:00:00Z,2022-10-18T17:48:00Z,21691221853,21691221853,477127426,0.0005,9,67,0,2020-05-02T00:00:00Z,2020-06-15T00:00:00Z,2020-06-19T00:00:00Z,88,0,0.022138584,2022-09-23T00:00:00Z,1842320.62,0.000052064841,0.0024,682440.16,0.5884,1129350.02,0.0024,ETH,
ZIL,ZIL,ZIL,Zilliqa,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/zil.svg,active,0.031121982,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,14966200491,21000000000,465777817,0.0005,122,444,266,2018-01-25T00:00:00Z,2018-01-25T00:00:00Z,2018-08-29T00:00:00Z,89,0,0.23706490,2021-04-16T00:00:00Z,253116618.45,0.000072917949,0.0023,166746631.51,1.9306,1210323.19,0.0026,ZIL,
RUNE,RUNE,RUNE,THORChain,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/RUNE.png,active,1.50531656,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,300700561,500000000,452649533,0.0005,50,102,0,2019-07-20T00:00:00Z,2019-07-20T00:00:00Z,2019-07-26T00:00:00Z,90,0,20.34141103,2021-05-18T00:00:00Z,101253650.92,-0.021908094,-0.0143,10450507.67,0.1151,-6587776.14,-0.0143,BNB,
FXS,FXS,FXS,Frax Share (ERC-20),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/FXS.jpg,active,6.67383115,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,67494056,99822984,450443932,0.0005,44,85,1,2020-04-16T00:00:00Z,2020-12-17T00:00:00Z,2020-04-16T00:00:00Z,91,9,41.29545516,2022-01-12T00:00:00Z,46545122.51,0.58948094,0.0969,28119249.19,1.5261,39920578.87,0.0972,ETH,2020-12-22T18:27:18.738244Z
DASH,DASH,DASH,Dash,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/dash.svg,active,40.92006482,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,10962088,18900000,448569366,0.0005,226,1014,180,2014-02-07T00:00:00Z,2014-02-07T00:00:00Z,2018-08-29T00:00:00Z,92,-1,1440.10860046,2017-12-20T00:00:00Z,74508928.43,-0.50960050,-0.0123,2187757.37,0.0303,-5530020.64,-0.0122,,
TWT,TWT,TWT,Trust Wallet,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/TWT.jpg,active,1.07166705,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,416649900,1000000000,446509971,0.0005,34,53,0,2020-04-27T00:00:00Z,2020-08-19T00:00:00Z,2020-04-27T00:00:00Z,93,-1,1.51987299,2021-09-05T00:00:00Z,13848684.32,-0.0065021443,-0.0060,-4062532.87,-0.2268,-2709117.78,-0.0060,BNB,
KLAY,KLAY,KLAY,Klaytn,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/KLAY.jpg,active,0.14403152,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,3082235597,,443939080,0.0005,61,147,68,2019-09-26T00:00:00Z,2020-03-02T00:00:00Z,2020-02-21T00:00:00Z,94,-1,4.22249318,2021-03-30T00:00:00Z,61374122.11,0.0019194280,0.0135,2767060.45,0.0472,5955970.66,0.0136,KLAY,
BIT2,BIT2,BIT,BitDAO,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/BIT2.png,active,0.43536487,2022-10-18T00:00:00Z,2022-10-18T17:48:00Z,994251105,10000000000,432862005,0.0005,27,40,1,2021-08-16T00:00:00Z,2021-08-16T00:00:00Z,2021-08-17T00:00:00Z,95,-1,2.95219412,2021-11-11T00:00:00Z,10912087.20,-0.0039212512,-0.0089,-221888.81,-0.0199,-3898708.38,-0.0089,ETH,2021-08-17T01:07:07.908177Z
ENJ,ENJ,ENJ,Enjin Coin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/enj.svg,active,0.43433744,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,996399956,1000000000,432773810,0.0005,164,413,0,2017-11-01T00:00:00Z,2017-11-01T00:00:00Z,2018-08-29T00:00:00Z,96,0,4.51294629,2021-11-24T00:00:00Z,23607897.53,0.00095613722,0.0022,4200853.69,0.2165,952695.08,0.0022,ETH,
BAT,BAT,BAT,Basic Attention Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/bat.svg,active,0.28408394,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,1500000000,1500000000,426125905,0.0004,223,741,14,2017-06-03T00:00:00Z,2017-10-01T00:00:00Z,2018-08-29T00:00:00Z,97,-2,1.75880978,2021-11-27T00:00:00Z,37615632.57,-0.0038937878,-0.0135,5943151.85,0.1876,-5840681.74,-0.0135,ETH,
RPL,RPL,RPL,Rocket Pool,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/RPL.png,active,22.25190310,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,18859621,18859621,419662456,0.0004,26,122,12,2018-01-08T00:00:00Z,2018-01-08T00:00:00Z,2020-04-09T00:00:00Z,98,0,59.13091470,2021-11-08T00:00:00Z,737734.05,0.037989923,0.0017,54918.91,0.0804,716475.55,0.0017,ETH,
KAVA,KAVA,KAVA,Kava,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/KAVA.png,active,1.40659512,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,297478759,299949321,418432171,0.0004,52,89,0,2019-10-24T00:00:00Z,2019-10-25T00:00:00Z,2019-10-25T00:00:00Z,99,-2,8.58582959,2021-08-23T00:00:00Z,14795957.33,-0.0098318010,-0.0069,3100228.31,0.2651,-1844430.41,-0.0044,BNB,
BLOCKSTACK,BLOCKSTACK,STX,Stacks,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/BLOCKSTACK.png,active,0.30674956,2022-10-18T00:00:00Z,2022-10-18T17:48:00Z,1339214075,1352464600,410803329,0.0004,37,70,0,2017-11-10T00:00:00Z,2017-11-10T00:00:00Z,2019-06-05T00:00:00Z,100,-1,2.87841838,2021-12-01T00:00:00Z,9612885.35,-0.00013582565,-0.0004,-2035251.18,-0.1747,-143444.63,-0.0003,,